network,site_id,date,generalized_depth,soil_moisture
UMRB Mesonet,ASAM8,2023-08-27,Middle,0.130465
UMRB Mesonet,ASAM8,2023-08-27,Shallow,0.071105
UMRB Mesonet,ASAM8,2023-08-28,Middle,0.12947
UMRB Mesonet,ASAM8,2023-08-28,Shallow,0.06435
UMRB Mesonet,ASAM8,2023-08-29,Middle,0.12926500000000002
UMRB Mesonet,ASAM8,2023-08-29,Shallow,0.0558
UMRB Mesonet,ASAM8,2023-08-30,Middle,0.12970500000000001
UMRB Mesonet,ASAM8,2023-08-30,Shallow,0.049825
UMRB Mesonet,ASAM8,2023-08-31,Middle,0.12875499999999998
UMRB Mesonet,ASAM8,2023-08-31,Shallow,0.044255
UMRB Mesonet,ASAM8,2023-09-01,Middle,0.128185
UMRB Mesonet,ASAM8,2023-09-01,Shallow,0.04179
UMRB Mesonet,ASAM8,2023-09-02,Middle,0.128385
UMRB Mesonet,ASAM8,2023-09-02,Shallow,0.041550000000000004
UMRB Mesonet,ASAM8,2023-09-03,Middle,0.128935
UMRB Mesonet,ASAM8,2023-09-03,Shallow,0.04093
UMRB Mesonet,ASAM8,2023-09-04,Middle,0.128975
UMRB Mesonet,ASAM8,2023-09-04,Shallow,0.078795
UMRB Mesonet,ASAM8,2023-09-05,Middle,0.126735
UMRB Mesonet,ASAM8,2023-09-05,Shallow,0.16546500000000003
UMRB Mesonet,ASAM8,2023-09-06,Middle,0.126075
UMRB Mesonet,ASAM8,2023-09-06,Shallow,0.14498
UMRB Mesonet,ASAM8,2023-09-07,Middle,0.126325
UMRB Mesonet,ASAM8,2023-09-07,Shallow,0.12489999999999998
UMRB Mesonet,ASAM8,2023-09-08,Middle,0.12661999999999998
UMRB Mesonet,ASAM8,2023-09-08,Shallow,0.112685
UMRB Mesonet,ASAM8,2023-09-09,Middle,0.12678
UMRB Mesonet,ASAM8,2023-09-09,Shallow,0.11961000000000001
UMRB Mesonet,ASAM8,2023-09-10,Middle,0.12664
UMRB Mesonet,ASAM8,2023-09-10,Shallow,0.146035
UMRB Mesonet,ASAM8,2023-09-11,Middle,0.12615
UMRB Mesonet,ASAM8,2023-09-11,Shallow,0.14297
UMRB Mesonet,ASAM8,2023-09-12,Middle,0.12638
UMRB Mesonet,ASAM8,2023-09-12,Shallow,0.12391
UMRB Mesonet,ASAM8,2023-09-13,Middle,0.12683999999999998
UMRB Mesonet,ASAM8,2023-09-13,Shallow,0.11318
UMRB Mesonet,ASAM8,2023-09-14,Middle,0.127175
UMRB Mesonet,ASAM8,2023-09-14,Shallow,0.10564
UMRB Mesonet,ASAM8,2023-09-15,Middle,0.127065
UMRB Mesonet,ASAM8,2023-09-15,Shallow,0.09871500000000001
UMRB Mesonet,ASAM8,2023-09-16,Middle,0.12719999999999998
UMRB Mesonet,ASAM8,2023-09-16,Shallow,0.09459
UMRB Mesonet,ASAM8,2023-09-17,Middle,0.127545
UMRB Mesonet,ASAM8,2023-09-17,Shallow,0.08969
UMRB Mesonet,ASAM8,2023-09-18,Middle,0.127805
UMRB Mesonet,ASAM8,2023-09-18,Shallow,0.082815
UMRB Mesonet,ASAM8,2023-09-19,Middle,0.127885
UMRB Mesonet,ASAM8,2023-09-19,Shallow,0.074695
UMRB Mesonet,ASAM8,2023-09-20,Middle,0.128005
UMRB Mesonet,ASAM8,2023-09-20,Shallow,0.06853999999999999
UMRB Mesonet,ASAM8,2023-09-21,Middle,0.12844
UMRB Mesonet,ASAM8,2023-09-21,Shallow,0.06403
UMRB Mesonet,ASAM8,2023-09-22,Middle,0.12818
UMRB Mesonet,ASAM8,2023-09-22,Shallow,0.176865
UMRB Mesonet,ASAM8,2023-09-23,Middle,0.14189
UMRB Mesonet,ASAM8,2023-09-23,Shallow,0.24114999999999998
UMRB Mesonet,ASAM8,2023-09-24,Middle,0.170435
UMRB Mesonet,ASAM8,2023-09-24,Shallow,0.23719
UMRB Mesonet,ASAM8,2023-09-25,Middle,0.173115
UMRB Mesonet,ASAM8,2023-09-25,Shallow,0.22082999999999997
UMRB Mesonet,ASAM8,2023-09-26,Middle,0.17320999999999998
UMRB Mesonet,ASAM8,2023-09-26,Shallow,0.200635
UMRB Mesonet,ASAM8,2023-09-27,Middle,0.174795
UMRB Mesonet,ASAM8,2023-09-27,Shallow,0.18292999999999998
UMRB Mesonet,ASAM8,2023-09-28,Middle,0.17576999999999998
UMRB Mesonet,ASAM8,2023-09-28,Shallow,0.17069499999999999
UMRB Mesonet,ASAM8,2023-09-29,Middle,0.17518
UMRB Mesonet,ASAM8,2023-09-29,Shallow,0.16308500000000004
UMRB Mesonet,ASAM8,2023-09-30,Middle,0.17583
UMRB Mesonet,ASAM8,2023-09-30,Shallow,0.157585
UMRB Mesonet,ASAM8,2023-10-01,Middle,0.175515
UMRB Mesonet,ASAM8,2023-10-01,Shallow,0.15086
UMRB Mesonet,ASAM8,2023-10-02,Middle,0.17382999999999998
UMRB Mesonet,ASAM8,2023-10-02,Shallow,0.149125
UMRB Mesonet,ASAM8,2023-10-03,Middle,0.17307499999999998
UMRB Mesonet,ASAM8,2023-10-03,Shallow,0.21104
UMRB Mesonet,ASAM8,2023-10-04,Middle,0.17637
UMRB Mesonet,ASAM8,2023-10-04,Shallow,0.24843
UMRB Mesonet,ASAM8,2023-10-05,Middle,0.180375
UMRB Mesonet,ASAM8,2023-10-05,Shallow,0.24669
UMRB Mesonet,ASAM8,2023-10-06,Middle,0.18273499999999998
UMRB Mesonet,ASAM8,2023-10-06,Shallow,0.23608
UMRB Mesonet,ASAM8,2023-10-07,Middle,0.183525
UMRB Mesonet,ASAM8,2023-10-07,Shallow,0.22497999999999999
UMRB Mesonet,ASAM8,2023-10-08,Middle,0.184095
UMRB Mesonet,ASAM8,2023-10-08,Shallow,0.20959
UMRB Mesonet,ASAM8,2023-10-09,Middle,0.18456
UMRB Mesonet,ASAM8,2023-10-09,Shallow,0.19347
UMRB Mesonet,ASAM8,2023-10-10,Middle,0.18459499999999998
UMRB Mesonet,ASAM8,2023-10-10,Shallow,0.18197499999999997
UMRB Mesonet,ASAM8,2023-10-11,Middle,0.18444499999999997
UMRB Mesonet,ASAM8,2023-10-11,Shallow,0.173105
UMRB Mesonet,ASAM8,2023-10-12,Middle,0.183595
UMRB Mesonet,ASAM8,2023-10-12,Shallow,0.196995
UMRB Mesonet,ASAM8,2023-10-13,Middle,0.18185
UMRB Mesonet,ASAM8,2023-10-13,Shallow,0.218455
UMRB Mesonet,ASAM8,2023-10-14,Middle,0.18042000000000002
UMRB Mesonet,ASAM8,2023-10-14,Shallow,0.21048999999999998
UMRB Mesonet,ASAM8,2023-10-15,Middle,0.17950000000000002
UMRB Mesonet,ASAM8,2023-10-15,Shallow,0.19533
UMRB Mesonet,ASAM8,2023-10-16,Middle,0.17950499999999997
UMRB Mesonet,ASAM8,2023-10-16,Shallow,0.184205
UMRB Mesonet,ASAM8,2023-10-17,Middle,0.179915
UMRB Mesonet,ASAM8,2023-10-17,Shallow,0.175365
UMRB Mesonet,ASAM8,2023-10-18,Middle,0.17945999999999998
UMRB Mesonet,ASAM8,2023-10-18,Shallow,0.16870000000000002
UMRB Mesonet,ASAM8,2023-10-19,Middle,0.17861999999999997
UMRB Mesonet,ASAM8,2023-10-19,Shallow,0.16236499999999998
UMRB Mesonet,ASAM8,2023-10-20,Middle,0.17825
UMRB Mesonet,ASAM8,2023-10-20,Shallow,0.156685
UMRB Mesonet,ASAM8,2023-10-21,Middle,0.177585
UMRB Mesonet,ASAM8,2023-10-21,Shallow,0.15077
UMRB Mesonet,ASAM8,2023-10-22,Middle,0.17643
UMRB Mesonet,ASAM8,2023-10-22,Shallow,0.14603
UMRB Mesonet,ASAM8,2023-10-23,Middle,0.17526499999999998
UMRB Mesonet,ASAM8,2023-10-23,Shallow,0.14656
UMRB Mesonet,ASAM8,2023-10-24,Middle,0.17433999999999997
UMRB Mesonet,ASAM8,2023-10-24,Shallow,0.175975
UMRB Mesonet,ASAM8,2023-10-25,Middle,0.17326
UMRB Mesonet,ASAM8,2023-10-25,Shallow,0.18503499999999998
UMRB Mesonet,ASAM8,2023-10-26,Middle,0.1699
UMRB Mesonet,ASAM8,2023-10-26,Shallow,0.19621499999999997
UMRB Mesonet,ASAM8,2023-10-27,Middle,0.16783
UMRB Mesonet,ASAM8,2023-10-27,Shallow,0.21706499999999998
UMRB Mesonet,ASAM8,2023-10-28,Middle,0.16704999999999998
UMRB Mesonet,ASAM8,2023-10-28,Shallow,0.22460500000000003
UMRB Mesonet,ASAM8,2023-10-29,Middle,0.16951999999999998
UMRB Mesonet,ASAM8,2023-10-29,Shallow,0.23274999999999998
UMRB Mesonet,ASAM8,2023-10-30,Middle,0.173205
UMRB Mesonet,ASAM8,2023-10-30,Shallow,0.23659
UMRB Mesonet,ASAM8,2023-10-31,Middle,0.17583500000000002
UMRB Mesonet,ASAM8,2023-10-31,Shallow,0.21683
UMRB Mesonet,ASAM8,2023-11-01,Middle,0.17768
UMRB Mesonet,ASAM8,2023-11-01,Shallow,0.22026
UMRB Mesonet,ASAM8,2023-11-02,Middle,0.182855
UMRB Mesonet,ASAM8,2023-11-02,Shallow,0.258705
UMRB Mesonet,ASAM8,2023-11-03,Middle,0.20664000000000002
UMRB Mesonet,ASAM8,2023-11-03,Shallow,0.28342500000000004
