pc,eigenvalue,var_explained,cum_var
1,10.45619291082709,0.33729654551055127,0.33729654551055127
2,7.439715790390468,0.2399908319480796,0.5772873774586309
3,4.646177981420155,0.1498767090780695,0.7271640865367004
4,2.246772643611079,0.07247653689067997,0.7996406234273803
5,1.6403776371636405,0.05291540765044001,0.8525560310778203
6,1.0278618170469558,0.03315683280796631,0.8857128638857866
7,0.7194333951139015,0.023207528874641982,0.9089203927604287
8,0.5541962096747395,0.017877297086281916,0.9267976898467105
9,0.45538011380941257,0.014689681090626211,0.9414873709373368
10,0.33753569750363216,0.010888248306568779,0.9523756192439056
11,0.280372285606456,0.009044267277627612,0.9614198865215332
12,0.22798286234119125,0.00735428588197391,0.968774172403507
13,0.19225200476014856,0.006201677572908017,0.9749758499764151
14,0.15959393225062934,0.005148191362923527,0.9801240413393386
15,0.13055893680051497,0.004211578606468224,0.9843356199458069
16,0.12226153871283245,0.003943920603639756,0.9882795405494466
17,0.09466137957755376,0.003053592889598508,0.99133313343904506
18,0.07984761585390932,0.0025757295436744936,0.9939088629827196
19,0.06685337828833517,0.0021565605899462954,0.9960654235726659
20,0.04067193193657174,0.0013119978044055399,0.9973774213770714
21,0.03305516165389741,0.0010662955372224968,0.9984437169142939
22,0.020964944118401555,6.762885199484372e-4,0.9991200054342424
23,0.00985876629346305,3.1802471914396934e-4,0.9994380301533863
24,0.007135477297769458,2.301766870248212e-4,0.9996682068404111
25,0.00519039201729671,1.6743200055795838e-4,0.9998356388409692
26,0.0030370952197049626,9.797081353886975e-5,0.999933609654508
27,9.269228303600644e-4,2.990073646322788e-5,0.9999635103909712
28,5.810523863098151e-4,1.8743625364832743e-5,0.999982254016336
29,5.057731391469415e-4,1.6315262553127143e-5,0.9999985692788892
30,4.435101205956611e-5,1.4306778083731001e-6,0.9999999999566975
31,1.3423772618627939e-9,4.330249231815463e-11,1
