variable,ref,lo,hi,pct_conus_outside
X1_constant,Stations,0.0158223,1,0.699
X0_ssurgo_awc,Stations,0,0.23,0.643
X2_elevation,Stations,1,3539,0.51
solslope,Stations,11.031167,20.4164181,0.334
soltotal,Stations,11.0471668,20.298000300000002,0.302
tmean,Stations,-0.8491666,24.460001,0.208
tmin,Stations,-7.5549164,19.5616665,0.203
X1_ssurgo_clay,Stations,0,68.8000031,0.145
ppt,Stations,4.7659168,282.0052795,0.122
solclear,Stations,17.6802502,24.4031677,0.122
tdmean,Stations,-10.1884174,19.7732506,0.115
vpdmin,Stations,0.2258767,15.7644653,0.098
X2_ksat_mean,Stations,-1.0895438,1.7846224,0.079
X1_clay_mean,Stations,1.6039675,56.5017929,0.076
X1_constant,Pretraining,0.0020782,1,0.074
tmax,Stations,5.1858335,31.5458355,0.073
X8_theta_r_mean,Stations,0.0174446,0.1571685,0.071
vpdmax,Stations,4.2261381,47.5475807,0.061
vpdmax,Pretraining,4.4493284,52.668525699999996,0.06
X0_bd_mean,Stations,0.7195585,1.6115381,0.057
X9_theta_s_mean,Stations,0.3899371,0.7284713,0.045
X12_alpha_mean,Stations,-0.7559303,0.1813973,0.044
X4_om_mean,Stations,-1.3158953,1.8492646,0.042
X11_hb_mean,Stations,-0.180299,0.7612689,0.04
X7_silt_mean,Stations,1.2385353,74.9031067,0.034
X5_ph_mean,Stations,3.7027409,9.2063913,0.022
soltrans,Stations,0.5464562,0.8767704,0.014
X6_sand_mean,Stations,3.5136683,95.4853287,0.012
tdmean,Pretraining,-12.8271675,20.6901684,0.005
X10_lambda_mean,Stations,0.2245585,0.4964577,0.004
tmin,Pretraining,-10.6025,22.1549988,0.003
X2_ssurgo_ksat,Stations,0,392.6275024,0.002
X3_ssurgo_sand,Stations,0,97.9000015,0.002
X3_n_mean,Stations,1.2072253,1.6064551,0.002
ppt,Pretraining,3.9250002,424.6464233,0.002
X4_om_mean,Pretraining,-2.7794185,1.9203746,0.002
soltrans,Pretraining,0.5282844,0.877687,0.001
X5_ph_mean,Pretraining,3.2546492,10.0778418,0.001
X0_b1,Stations,4.4424901,22.966013,0
solclear,Pretraining,15.2248344,24.6081676,0
solslope,Pretraining,7.1773338,21.0710011,0
soltotal,Pretraining,9.2835007,20.6798344,0
tmax,Pretraining,2.0541668,33.2025032,0
tmean,Pretraining,-4.2750001,25.2550011,0
vpdmin,Pretraining,0.0379875,16.7770271,0
X0_b1,Pretraining,2.8047733,24.6288433,0
X2_elevation,Pretraining,-81,4025,0
X0_ssurgo_awc,Pretraining,0,0.56,0
X1_ssurgo_clay,Pretraining,0,91.4000015,0
X2_ssurgo_ksat,Pretraining,0,423.0700073,0
X3_ssurgo_sand,Pretraining,0,98.9000015,0
X0_bd_mean,Pretraining,0.6356719,1.7323099,0
X1_clay_mean,Pretraining,0.8157609,70.9549789,0
X10_lambda_mean,Pretraining,0.214389,0.5240072,0
X11_hb_mean,Pretraining,-0.2942362,0.8764951,0
X12_alpha_mean,Pretraining,-0.8751749,0.2976698,0
X2_ksat_mean,Pretraining,-2.4234817,2.0240467,0
X3_n_mean,Pretraining,1.1934866,1.6362799,0
X6_sand_mean,Pretraining,1.0150783,96.7685013,0
X7_silt_mean,Pretraining,0.5,89.2265625,0
X8_theta_r_mean,Pretraining,0.0106528,0.2213358,0
X9_theta_s_mean,Pretraining,0.3462981,0.7601238,0
