ref,k,variable_added,pct_conus_outside_cumulative
Stations,1,X1_constant,0.699
Stations,2,X0_ssurgo_awc,1.294
Stations,3,X2_elevation,1.469
Stations,4,solslope,1.802
Stations,5,soltotal,1.87
Stations,6,tmean,2.013
Stations,7,tmin,2.048
Stations,8,X1_ssurgo_clay,2.129
Stations,9,ppt,2.175
Stations,10,solclear,2.232
Stations,11,tdmean,2.247
Stations,12,vpdmin,2.329
Stations,13,X2_ksat_mean,2.394
Stations,14,X1_clay_mean,2.45
Stations,15,tmax,2.463
Stations,16,X8_theta_r_mean,2.503
Stations,17,vpdmax,2.531
Stations,18,X0_bd_mean,2.575
Stations,19,X9_theta_s_mean,2.575
Stations,20,X12_alpha_mean,2.597
Stations,21,X4_om_mean,2.605
Stations,22,X11_hb_mean,2.607
Stations,23,X7_silt_mean,2.62
Stations,24,X5_ph_mean,2.624
Stations,25,soltrans,2.625
Stations,26,X6_sand_mean,2.632
Stations,27,X10_lambda_mean,2.632
Stations,28,X2_ssurgo_ksat,2.634
Stations,29,X3_ssurgo_sand,2.634
Stations,30,X3_n_mean,2.634
Stations,31,X0_b1,2.634
Pretraining,1,X1_constant,0.074
Pretraining,2,vpdmax,0.133
Pretraining,3,tdmean,0.138
Pretraining,4,tmin,0.14
Pretraining,5,ppt,0.142
Pretraining,6,X4_om_mean,0.144
Pretraining,7,soltrans,0.146
Pretraining,8,X5_ph_mean,0.147
Pretraining,9,solclear,0.147
Pretraining,10,solslope,0.147
Pretraining,11,soltotal,0.147
Pretraining,12,tmax,0.147
Pretraining,13,tmean,0.147
Pretraining,14,vpdmin,0.147
Pretraining,15,X0_b1,0.147
Pretraining,16,X2_elevation,0.147
Pretraining,17,X0_ssurgo_awc,0.147
Pretraining,18,X1_ssurgo_clay,0.147
Pretraining,19,X2_ssurgo_ksat,0.147
Pretraining,20,X3_ssurgo_sand,0.147
Pretraining,21,X0_bd_mean,0.147
Pretraining,22,X1_clay_mean,0.147
Pretraining,23,X10_lambda_mean,0.147
Pretraining,24,X11_hb_mean,0.147
Pretraining,25,X12_alpha_mean,0.147
Pretraining,26,X2_ksat_mean,0.147
Pretraining,27,X3_n_mean,0.147
Pretraining,28,X6_sand_mean,0.147
Pretraining,29,X7_silt_mean,0.147
Pretraining,30,X8_theta_r_mean,0.147
Pretraining,31,X9_theta_s_mean,0.147
