variable,label,mean_unsampled,mean_station,sd_conus,smd
X2_elevation,Terrain: elevation (NED),424.7408361054621,1623.1348773841962,725.0075044196775,-1.6529401888577313
tdmean,PRISM dewpoint,6.997258854151641,-1.0293142044959127,5.941790570063887,1.3508677163896152
tmin,PRISM tmin,7.882254040006795,1.3756905480926431,5.266679600904858,1.2354204138023266
X0_bd_mean,POLARIS: bulk density,1.2259850571674231,1.3428479098092643,0.09731314009328346,-1.2008948897324403
X9_theta_s_mean,POLARIS: van Genuchten theta_s,0.5373527313566994,0.4932266098092643,0.0368055487961402,1.1988986169406761
X2_ssurgo_ksat,SSURGO: Ksat,51.00629086003331,23.298862222479563,24.628738548682264,1.1250039697642658
X4_om_mean,POLARIS: organic matter,0.2502526291100285,-0.07160695408719346,0.2872784245225531,1.1203750637805174
tmean,PRISM tmean,13.655571646603978,7.894642741008174,5.205999751022189,1.1065941569560498
tmax,PRISM tmax,19.43116226083885,14.414506929427793,5.375327202740995,0.9332744114354483
X0_b1,Terrain: TWI,9.144596712388156,8.190400221798365,1.1347110543798347,0.8409158321906871
X2_ksat_mean,POLARIS: Ksat,0.6792772865686079,0.34566424495912806,0.40197883272487644,0.8299268878115585
ppt,PRISM precipitation,94.19928804469089,64.77392511444141,38.720913666433695,0.7599346230240862
X1_constant,Terrain: topo diversity/ruggedness,0.1740704910055602,0.3266587491825613,0.20454486533193644,-0.745989188872476
X0_ssurgo_awc,SSURGO: AWC,0.1433151645687957,0.1205449591280654,0.03738341816018104,0.6090990755089377
soltrans,PRISM solar (transmittance),0.6985465971051005,0.7293336938692098,0.06505963554642402,-0.473213483376199
X5_ph_mean,POLARIS: pH,6.15331442737787,6.6074175241144415,1.1069606733248836,-0.4102251395911119
soltotal,PRISM solar (total),15.154132691836319,15.988658929700273,2.1234303330309108,-0.39300853194122964
solslope,PRISM solar (slope),15.135154426001943,15.90124304386921,2.1331042113996146,-0.35914261186733365
solclear,PRISM solar (clear-sky),21.124142980300196,21.58875804482289,1.4890522113196851,-0.31202066723431016
X11_hb_mean,POLARIS: Brooks-Corey air-entry,0.28618433259873527,0.24405267452316076,0.15970695444913152,0.26380603287375265
X12_alpha_mean,POLARIS: van Genuchten alpha,-0.2848625594761982,-0.2438185160762943,0.15789595868348374,-0.2599435966703891
X8_theta_r_mean,POLARIS: van Genuchten theta_r,0.06341446478131069,0.05852836566757493,0.019466463563411304,0.2510008609329303
vpdmax,PRISM VPD max,14.755208076350021,13.226481690599455,6.097009513531821,0.25073380357332253
X7_silt_mean,POLARIS: silt,31.398492634578556,34.221260779291555,13.237397080533297,-0.21324193325469673
X6_sand_mean,POLARIS: sand,46.954350592218134,43.17951298814714,18.59045951749032,0.20305240978683417
X1_ssurgo_clay,SSURGO: clay,20.669355134909853,22.456539513623976,10.584913564686712,-0.1688426048821514
vpdmin,PRISM VPD min,1.6286819483934958,1.8740613638964578,1.6754310889220672,-0.14645748018250837
X1_clay_mean,POLARIS: clay,19.182484042302548,19.7995563873297,8.162609543208404,-0.07559743508013084
X3_n_mean,POLARIS: van Genuchten n,1.380826927389282,1.3780389002724795,0.06516993043686377,0.04278088219694197
X3_ssurgo_sand,SSURGO: sand,44.53130603150387,44.28460493910082,19.987447780477403,0.012342801097597559
X10_lambda_mean,POLARIS: Brooks-Corey pore-size idx,0.3427153979391523,0.34257125817438694,0.04407687796497293,0.003270189982146533
