season,depth,truth_class,MSE,MAE,n
May-Oct,Middle,D4,1.970867206702496,1.1455951268926592,15406
May-Oct,Middle,D3,1.4649225634982788,0.975558157293916,43443
May-Oct,Middle,D2,1.0330659807544327,0.8097913217215996,61680
May-Oct,Middle,D1,0.7514448192587434,0.6843687788688666,177974
May-Oct,Middle,D0,0.5810625177678542,0.5984361088802099,150522
May-Oct,Middle,Neutral,0.5093749616128685,0.5592863752667673,584767
May-Oct,Middle,W0,0.5797045618162787,0.5959982554337764,147721
May-Oct,Middle,W1,0.7005947377177997,0.6546115810745203,177916
May-Oct,Middle,W2,0.9508871404286477,0.761842840965349,59940
May-Oct,Middle,W3,1.2805332209493159,0.881778087580717,45588
May-Oct,Middle,W4,1.428400922359604,0.8871980389786516,29405
May-Oct,Shallow,D4,1.1276419396747523,0.7922013825651917,17078
May-Oct,Shallow,D3,0.8951000265894087,0.7222238840790193,39645
May-Oct,Shallow,D2,0.6955838961102923,0.6487080448464033,57404
May-Oct,Shallow,D1,0.5492392075602798,0.5788988481378909,169156
May-Oct,Shallow,D0,0.4735412765613615,0.5386314601267277,148166
May-Oct,Shallow,Neutral,0.47505841366100726,0.536323353980754,591373
May-Oct,Shallow,W0,0.547929284268605,0.5722206848302562,149508
May-Oct,Shallow,W1,0.6420716589112737,0.6140438974897241,177340
May-Oct,Shallow,W2,0.8826723716810333,0.7050507579715718,63643
May-Oct,Shallow,W3,1.1701920196807045,0.796322356126485,49221
May-Oct,Shallow,W4,1.1873688947489602,0.7388346654205497,34086
all non-frozen,Middle,D4,2.0867386432101167,1.181376776279654,28460
all non-frozen,Middle,D3,1.6045226629587956,1.0192341551339257,79145
all non-frozen,Middle,D2,1.2074191678648742,0.8790645379476649,115422
all non-frozen,Middle,D1,0.8873510618438897,0.746135634465944,318188
all non-frozen,Middle,D0,0.6728031534581629,0.6484109445257773,261861
all non-frozen,Middle,Neutral,0.5648573847149895,0.5921708049496945,1023144
all non-frozen,Middle,W0,0.6471966448034585,0.6312927739211003,268416
all non-frozen,Middle,W1,0.7955826822930372,0.6991533768883941,326514
all non-frozen,Middle,W2,1.099929529425649,0.8226163310593301,106920
all non-frozen,Middle,W3,1.52706189680459,0.972646820237642,80765
all non-frozen,Middle,W4,1.766866010727564,1.0188498990813326,52594
all non-frozen,Shallow,D4,1.2780198086673367,0.8479699779346909,26204
all non-frozen,Shallow,D3,1.0412397039205625,0.7798743122695493,59330
all non-frozen,Shallow,D2,0.8178473908236764,0.6996600506487898,85020
all non-frozen,Shallow,D1,0.6263107643738017,0.6145211150678697,244478
all non-frozen,Shallow,D0,0.5256401131399931,0.5654223088804606,212326
all non-frozen,Shallow,Neutral,0.49341955291221234,0.5482612278306443,849750
all non-frozen,Shallow,W0,0.555256317491929,0.5799827850640307,216224
all non-frozen,Shallow,W1,0.6488871455100629,0.620616804637093,258120
all non-frozen,Shallow,W2,0.8799835476845438,0.7113591920058816,91499
all non-frozen,Shallow,W3,1.177131777012094,0.8097328729100455,70520
all non-frozen,Shallow,W4,1.2175628012054154,0.7668756802121562,49081
