site_id,fold,n,KGE,r,pbias,record,depth
ASAM8,all,507,0.5530120718438549,0.8914010341344041,16.9,OLD (to 2025-04),Shallow
BDEM8,all,26,0.31130656110609944,0.43423310038886803,23.4,OLD (to 2025-04),Shallow
BNGM8,all,76,0.842424753365796,0.9372294582121676,6.9,OLD (to 2025-04),Shallow
BNWM8,all,355,0.5597832857330964,0.9160784663564582,9.3,OLD (to 2025-04),Shallow
BRYM8,all,408,0.7760050569708545,0.7788574081330887,1.7,OLD (to 2025-04),Shallow
BSEM8,all,56,0.11179200052617488,0.6069276647407,20.9,OLD (to 2025-04),Shallow
BSWM8,all,52,0.06471323545790042,0.8303814643344848,63.3,OLD (to 2025-04),Shallow
BTSM8,all,687,0.2149598425911775,0.8746732983394377,74,OLD (to 2025-04),Shallow
BUFM8,all,43,0.04287267244656734,0.3886710317599109,24.8,OLD (to 2025-04),Shallow
BUSM8,all,379,0.7487730519887803,0.909621714688513,13.8,OLD (to 2025-04),Shallow
BYUM8,all,406,0.7052721037851892,0.8787641954866664,9.6,OLD (to 2025-04),Shallow
CHSM8,all,362,0.6256068088587972,0.7887471663388812,20.4,OLD (to 2025-04),Shallow
CNNM8,all,63,0.3962729852238953,0.5344590298644493,-10.5,OLD (to 2025-04),Shallow
CRNM8,all,54,0.5095204562049696,0.8054261867812678,4.1,OLD (to 2025-04),Shallow
CSTM8,all,55,0.14947649436591226,0.8440038836755281,78.2,OLD (to 2025-04),Shallow
DOGM8,all,66,-3.059816054319408,0.6097822628386855,401,OLD (to 2025-04),Shallow
DRYM8,all,58,0.09540762943828396,0.2558420816277695,-1.7,OLD (to 2025-04),Shallow
DYRM8,all,466,0.5649078027748935,0.7504226771577509,-3.8,OLD (to 2025-04),Shallow
FOXM8,all,55,-0.29933726343392975,-0.011230994931886359,1.3,OLD (to 2025-04),Shallow
FRGM8,all,388,0.768819294502613,0.9177394361569643,12.2,OLD (to 2025-04),Shallow
FTKM8,all,41,-0.16861379376720365,0.009192837536661058,-1.4,OLD (to 2025-04),Shallow
GLOM8,all,48,-0.5645325806580717,-0.5287004270500418,-2.2,OLD (to 2025-04),Shallow
HIWM8,all,62,-0.946740130903071,0.014070121512211157,-16.3,OLD (to 2025-04),Shallow
HOGM8,all,38,-0.27075070051874905,-0.13009710341497874,13.1,OLD (to 2025-04),Shallow
HWTM8,all,426,0.5403519279477079,0.8798604666503816,43.9,OLD (to 2025-04),Shallow
INNM8,all,61,-0.17283520588314416,-0.023437734744354632,16.6,OLD (to 2025-04),Shallow
ISSM8,all,63,-0.062456272956149084,0.24792027150946572,-10.7,OLD (to 2025-04),Shallow
JGPM8,all,42,0.5364841424894802,0.5499265476057706,6.8,OLD (to 2025-04),Shallow
LGGM8,all,417,0.8309547684260892,0.8769286983023581,-10.8,OLD (to 2025-04),Shallow
LLNM8,all,33,-0.1999402062236002,-0.04203347122162982,57.7,OLD (to 2025-04),Shallow
LMDM8,all,435,0.6880523063041517,0.9105827050688439,-23.3,OLD (to 2025-04),Shallow
LOAM8,all,61,0.2729873847698854,0.7038531005382728,24.7,OLD (to 2025-04),Shallow
LORM8,all,346,0.2921239013516155,0.7847808898026025,46.9,OLD (to 2025-04),Shallow
LTBM8,all,53,-0.3629031350169334,-0.12740192384199878,34.3,OLD (to 2025-04),Shallow
LVAM8,all,445,0.6585020356043416,0.8290611286988455,20.2,OLD (to 2025-04),Shallow
