depth,truth,MAE_KGML,MAE_SPoRT,n,class
Middle,1,1.3941442607641559,1.5369815489575658,11389,D4
Middle,2,0.9465651185401966,1.0484718588679727,35243,D3
Middle,3,0.7726960966206639,0.8490402224325397,67261,D2
Middle,4,0.658211726101534,0.728603368351967,143159,D1
Middle,5,0.5947134437264425,0.6566068200268245,145075,D0
Middle,6,0.5823722041385464,0.645394996268837,567549,Neutral
Middle,7,0.6327046422766085,0.7062549229532868,144043,W0
Middle,8,0.6909043671889638,0.7821142997659961,145025,W1
Middle,9,0.7984266844204443,0.9033915379912293,67014,W2
Middle,10,0.9360057445944377,1.0499592440552032,39813,W3
Middle,11,1.303660306870482,1.4343173809361074,24324,W4
Shallow,1,1.068100815962604,1.2629173811236305,12791,D4
Shallow,2,0.744179348349425,0.8840493143079402,33109,D3
Shallow,3,0.6521009134649228,0.774845388272691,63396,D2
Shallow,4,0.5794916836305235,0.6798195948399355,136326,D1
Shallow,5,0.5389001587653515,0.6240708368362069,142736,D0
Shallow,6,0.5369532797879565,0.6165172093544004,574979,Neutral
Shallow,7,0.5761844374304445,0.6610097598692765,145041,W0
Shallow,8,0.6223707482464359,0.7217898388275069,143654,W1
Shallow,9,0.7323576092293473,0.8364728442547592,71575,W2
Shallow,10,0.8411898455049646,0.9529200612723707,42965,W3
Shallow,11,1.1443885552779058,1.2826504915364645,28391,W4
