depth,class,n,MAE_KGML,MAE_SPoRT
Shallow,D4,11838,1.1405250788416217,1.2288070682026462
Shallow,D3,31045,0.7621064802553955,0.8080853346908539
Shallow,D2,59576,0.6489628220820793,0.6936941271763956
Shallow,D1,127720,0.5648789820473292,0.6322474440946962
Shallow,D0,134077,0.5371306083208484,0.6335807719876959
Shallow,Neutral,543613,0.5720341365445223,0.7028454185523976
Shallow,W0,136963,0.6097399226224253,0.7706753257707419
Shallow,W1,135512,0.6339047355410738,0.820819363038316
Shallow,W2,67783,0.7153337072181112,0.9285082389801812
Shallow,W3,40855,0.8294546606581886,1.066334886058896
Shallow,W4,26948,1.1999338178468932,1.4947871228415346
Middle,D4,10362,1.402086416060339,1.4189989779680745
Middle,D3,32807,0.9167190399620978,0.9468573886490316
Middle,D2,62465,0.7267695331196858,0.7615799600418893
Middle,D1,133078,0.6268326369956313,0.694470990813964
Middle,D0,136219,0.5956919552041088,0.6785001055269541
Middle,Neutral,535403,0.6249262324328654,0.7294243749585666
Middle,W0,135956,0.6762484779894844,0.8032486775898794
Middle,W1,136315,0.7217614755363386,0.8709782812002632
Middle,W2,62783,0.8118559807129326,0.9864179435152102
Middle,W3,37480,0.9503349650399576,1.1541788769844252
Middle,W4,22743,1.3434298579573791,1.644203916144427
