truth_class,n,KGML_raw,KGML_mom,KGML_aug,SPoRT_raw,SPoRT_mom,class,depth
1,12396,1.0307284764897862,1.0988429381079194,1.1257131393742552,1.162691669494945,1.1235939693894668,D4,Middle
2,36542,0.8678565911234093,0.8927790604032619,0.9166234379266696,0.9661108625630104,0.9192798049918698,D3,Middle
3,52517,0.7243241121174238,0.720488271236374,0.7309845159573951,0.7963937342337143,0.7568452070428796,D2,Middle
4,153449,0.6301510493069012,0.6254051984298027,0.6167236895779593,0.6905249875932036,0.6937376831598865,D1,Middle
5,131223,0.5793613642768426,0.5944600331088501,0.5682865648210972,0.6317658673613191,0.6789416463182157,D0,Middle
6,512845,0.5806843400533499,0.6247352504340634,0.5849982012545799,0.637510493052537,0.7291468209174693,Neutral,Middle
7,130751,0.6286967287434063,0.673924479962403,0.6397463489773633,0.70033241737647145,0.7986391598305738,W0,Middle
8,157124,0.6825980791970645,0.7189165112507351,0.695981611611565,0.7745838659567934,0.8679119143482258,W1,Middle
9,52721,0.7784558157422177,0.811250028142235,0.803544343405182,0.8901002316942922,0.9840885724888663,W2,Middle
10,40227,0.8843906939577366,0.9326038396079164,0.9409573584934701,1.0035854211543527,1.1316465665064437,W3,Middle
11,25816,0.8683543539178201,0.9724873429741395,0.9869103529492732,1.0125100282053014,1.2057488861746448,W4,Middle
