truth_class,n,KGML_raw,KGML_mom,KGML_aug,SPoRT_raw,SPoRT_mom,class,depth
1,11838,1.0476951178330158,1.1405250788416217,1.1519163878779892,1.2336144259189483,1.2288070682026462,D4,Shallow
2,31045,0.7263455086531405,0.7621064802553955,0.7697086964594018,0.8500628371146128,0.8080853346908539,D3,Shallow
3,59576,0.6404914639326276,0.6489628220820793,0.6525373373070961,0.7441736095359534,0.6936941271763956,D2,Shallow
4,127720,0.5751535662851361,0.5648789820473292,0.5638071087730224,0.6590961755889045,0.6322474440946962,D1,Shallow
5,134077,0.540174738199762,0.5371306083208484,0.5315128195976144,0.6136321231870193,0.6335807719876959,D0,Shallow
6,543613,0.539153340629265,0.5720341365445223,0.561873128607542,0.6166221871713453,0.7028454185523976,Neutral,Shallow
7,136963,0.5751790345451795,0.6097399226224253,0.6003291478709594,0.6666911865076025,0.7706753257707419,W0,Shallow
8,135512,0.6213118429942339,0.6339047355410738,0.6272127517490064,0.7308617956233489,0.820819363038316,W1,Shallow
9,67783,0.7263006573047465,0.7153337072181112,0.7128611651488662,0.8440776683678588,0.9285082389801813,W2,Shallow
10,40855,0.832693103884694,0.8294546606581886,0.8326294869418208,0.958953890602002,1.0663348860588961,W3,Shallow
11,26948,1.1257589442480695,1.1999338178468932,1.2144997884779187,1.2801555320353697,1.4947871228415346,W4,Shallow
