season,depth,truth_class,MSE,MAE,n
May-Oct,Middle,D4,2.7018285209709214,1.4050813403578473,12878
May-Oct,Middle,D3,1.412238775930984,0.9612178544334766,39182
May-Oct,Middle,D2,0.9708615544811163,0.7815642114131351,73379
May-Oct,Middle,D1,0.7137536726837234,0.6610208621642708,154398
May-Oct,Middle,D0,0.5840915707269725,0.595373487670441,156320
May-Oct,Middle,Neutral,0.5643207428031553,0.5813755894578508,610476
May-Oct,Middle,W0,0.6761285570743927,0.634257097621312,153633
May-Oct,Middle,W1,0.8148938492489625,0.6975538614316551,154384
May-Oct,Middle,W2,1.0717779204230156,0.8089064909467523,71356
May-Oct,Middle,W3,1.4414946541447842,0.9523894137023121,42449
May-Oct,Middle,W4,2.6033420266143383,1.319592251048423,25907
May-Oct,Shallow,D4,1.734463900542321,1.0832937182458189,14356
May-Oct,Shallow,D3,0.9249166334410807,0.753428031894183,36034
May-Oct,Shallow,D2,0.708766152907971,0.6572617108882693,68300
May-Oct,Shallow,D1,0.5647771767401047,0.5809599165005073,146412
May-Oct,Shallow,D0,0.4846172749220654,0.5379400551001007,153297
May-Oct,Shallow,Neutral,0.4817157301405823,0.5350024508697995,617305
May-Oct,Shallow,W0,0.567278169410544,0.5775280946960301,155402
May-Oct,Shallow,W1,0.6737287282872143,0.6258580844716923,153510
May-Oct,Shallow,W2,0.9539680876452016,0.7386789159519385,76294
May-Oct,Shallow,W3,1.228741890573972,0.8523873351884352,45674
May-Oct,Shallow,W4,2.1300723303377262,1.1556494029613242,30060
all non-frozen,Middle,D4,2.8708150199372335,1.4502045664628596,23815
all non-frozen,Middle,D3,1.5742134985152834,1.014418356006886,71152
all non-frozen,Middle,D2,1.1743703465061575,0.8627873645582409,137178
all non-frozen,Middle,D1,0.8688359543652932,0.7320473964063627,275932
all non-frozen,Middle,D0,0.6782950627941294,0.6446184194998997,272609
all non-frozen,Middle,Neutral,0.6143334513525932,0.6117594208909392,1068615
all non-frozen,Middle,W0,0.7291938108538703,0.6646398334508603,280119
all non-frozen,Middle,W1,0.8963152833611691,0.7373695780046741,283051
all non-frozen,Middle,W2,1.2253096160846089,0.8719354422739453,127295
all non-frozen,Middle,W3,1.7196782228861127,1.0541712360281073,75387
all non-frozen,Middle,W4,3.094532041315186,1.4726159038955036,46276
all non-frozen,Shallow,D4,1.903789620476005,1.1302592771678293,22152
all non-frozen,Shallow,D3,1.045907125531665,0.798897665074011,53956
all non-frozen,Shallow,D2,0.810536048967012,0.6970578179800208,101115
all non-frozen,Shallow,D1,0.6304304036113146,0.6112854492249079,211692
all non-frozen,Shallow,D0,0.5296405547635062,0.5623969522198905,219835
all non-frozen,Shallow,Neutral,0.5022018498988536,0.5484583271367818,887078
all non-frozen,Shallow,W0,0.5825447671331243,0.5893502387372858,224863
all non-frozen,Shallow,W1,0.6883815027232397,0.636834866577795,223453
all non-frozen,Shallow,W2,0.9542206227812061,0.7488244467811773,109633
all non-frozen,Shallow,W3,1.255026935696511,0.8731782182980453,65501
all non-frozen,Shallow,W4,2.181883894350327,1.1870513462604746,43298
