depth,network,site_id,n,exact_acc,class_err,kappa
Shallow,USCRN,1005,4847,0.4021043944708067,0.9170621002682071,0.4326949670321192
Shallow,USCRN,1027,4692,0.39279624893435633,0.9190110826939472,0.46786598346647157
Shallow,USCRN,1035,2534,0.3898973954222573,1.000789265982636,0.40999364265507143
Shallow,USCRN,1125,2017,0.3802677243430838,0.9365394149727317,0.516337495462149
Shallow,USCRN,1139,2937,0.3289070480081716,1.1235955056179776,0.28695479102817084
Shallow,USCRN,1142,4234,0.3656117146905999,0.9681152574397732,0.45820702333790514
Shallow,USCRN,1235,2701,0.34542761940022215,1.086264346538319,0.3642471208647432
Shallow,USCRN,1611,2754,0.40885984023238925,0.8779956427015251,0.4766200111909649
Shallow,USCRN,1612,2833,0.3600423579244617,1.0141193081539004,0.3577534687579154
Shallow,UMRB Mesonet,AIDN8,0,NA,NA,NA
Shallow,UMRB Mesonet,BFMS2,0,NA,NA,NA
Shallow,UMRB Mesonet,BLWM8,0,NA,NA,NA
Shallow,UMRB Mesonet,CURN8,0,NA,NA,NA
Shallow,UMRB Mesonet,DKSN8,0,NA,NA,NA
Shallow,UMRB Mesonet,EDGN8,0,NA,NA,NA
Shallow,UMRB Mesonet,MATN8,0,NA,NA,NA
Shallow,SCAN,SCAN:2006,7979,0.3027948364456699,1.2238375736307807,0.28138919605769236
Shallow,SCAN,SCAN:2012,7276,0.26937877954920286,1.5542880703683342,0.23007919712438546
Shallow,SCAN,SCAN:2038,7289,0.35903416106461794,1.0471944025243518,0.44401853972304467
Shallow,SCAN,SCAN:2064,6127,0.3065121592949241,1.3853435612861107,0.223515227728649
Shallow,SCAN,SCAN:2091,6609,0.3177485247389923,1.2289302466333787,0.3296800474026359
Shallow,SCAN,SCAN:2092,6095,0.2679245283018868,1.4930270713699754,0.18382909712750373
Shallow,SCAN,SCAN:2094,6058,0.2561901617695609,1.4839881148894025,0.1958011392439265
Shallow,SCAN,SCAN:2125,4133,0.36293249455601256,1.1700943624485847,0.3046395209022996
Shallow,SCAN,SCAN:2126,3879,0.2552204176334107,1.5241041505542665,0.10150389614164042
Shallow,SCAN,SCAN:2128,4588,0.3594158674803836,1.049694856146469,0.3680370323405923
Shallow,SCAN,SCAN:2147,4032,0.3010912698412698,1.2504960317460319,0.34125729904746094
Shallow,SCAN,SCAN:2149,4288,0.33465485074626866,1.2527985074626866,0.25087344719367083
Shallow,SCAN,SCAN:2152,3735,0.33842034805890225,1.1269076305220884,0.2645474045412371
Shallow,SCAN,SCAN:2169,4391,0.37075836939193807,1.0462309268959236,0.43077723057402556
Shallow,SCAN,SCAN:2173,3591,0.302979671400724,1.4182678919521026,0.22598729118517694
Shallow,SCAN,SCAN:2185,3070,0.2970684039087948,1.26742671009772,0.221516353488741
Shallow,SCAN,SCAN:2189,3366,0.36660724896019015,1.1087344028520498,0.38350018198843283
Shallow,SCAN,SCAN:2197,2207,0.3262347077480743,1.095151789759855,0.3085114717631835
Shallow,SCAN,SCAN:2217,2909,0.2760398762461327,1.4733585424544517,0.25694494420132336
Shallow,SNTL,SNTL:1053,4797,0.3708567854909318,1.1069418386491556,0.2657245355811418
Shallow,SNTL,SNTL:1066,3887,0.3879598662207358,0.9264214046822743,0.3167914533438601
Shallow,SNTL,SNTL:1137,2426,0.36150041220115414,1.1306677658697444,0.24699235263572755
