n_event,POD,FAR,CSI,HSS,model,threshold,depth
400536,0.6665068807797552,0.4031625943736851,0.45958885596875015,0.4688234714375396,KGML,D0,Shallow
400536,0.6064099107196357,0.4671874383036972,0.3959012826217708,0.37670542101028526,SPoRT-LIS,D0,Shallow
262476,0.5840191103186577,0.4991063113696146,0.3691801936322913,0.422229052690259,KGML,D1,Shallow
262476,0.5156204757768329,0.5658263664769628,0.3083909837485075,0.3356897115051945,SPoRT-LIS,D1,Shallow
105075,0.4300452058053771,0.6558963736882987,0.23632626591215758,0.32589001616925073,KGML,D2,Shallow
105075,0.3706400190340233,0.7161277625517523,0.19154346307826994,0.2582236584146966,SPoRT-LIS,D2,Shallow
414063,0.5883959687293963,0.4328220266183684,0.4060665052176478,0.39363270723012816,KGML,D0,Middle
414063,0.5496796381227012,0.4886543369639455,0.36037779167623285,0.31988814401238497,SPoRT-LIS,D0,Middle
274337,0.48946368882068403,0.5325461090184993,0.3142380409676279,0.3461883198991341,KGML,D1,Middle
274337,0.45010698520432896,0.5878883956880152,0.27410618753967936,0.2823884721124813,SPoRT-LIS,D1,Middle
109366,0.3189108132326317,0.7095097696267053,0.1792715647069708,0.24157694492101806,KGML,D2,Middle
109366,0.2806265201250846,0.7510645718596144,0.15196272603038166,0.19685400520344884,SPoRT-LIS,D2,Middle
