depth,yr,n_days,jja_mean
middle,1981,92,0.21475261912728055
middle,1982,92,0.2196718881133277
middle,1983,92,0.20888056162834207
middle,1984,92,0.2092680596206081
middle,1985,92,0.20368178411041418
middle,1986,92,0.21106992988480322
middle,1987,92,0.21090855731112806
middle,1988,92,0.18294420505113088
middle,1989,92,0.2122079141632934
middle,1990,92,0.21074177466265057
middle,1991,92,0.2122285007149357
middle,1992,92,0.22026174790858385
middle,1993,92,0.2226085857212226
middle,1994,92,0.20928369820097262
middle,1995,92,0.2210839865527531
middle,1996,92,0.21343851548853365
middle,1997,92,0.22034040164014043
middle,1998,92,0.21484930287929832
middle,1999,92,0.21093070933137947
middle,2000,92,0.20338736698937515
middle,2001,92,0.20511989773028372
middle,2002,92,0.19698987622957082
middle,2003,92,0.20994973315430063
middle,2004,92,0.21897150679283955
middle,2005,92,0.21125891194532784
middle,2006,92,0.19381803055787736
middle,2007,92,0.20400278932301674
middle,2008,92,0.20562392501866197
middle,2009,92,0.2123992154072602
middle,2010,92,0.21584664700044573
middle,2011,92,0.19802856086153978
middle,2012,92,0.1814330567781386
middle,2013,92,0.2077261668516151
middle,2014,92,0.20917529871468377
middle,2015,92,0.21991537541725986
middle,2016,92,0.21274287445930107
middle,2017,92,0.21518435907664768
middle,2018,92,0.21030890883544956
middle,2019,92,0.22647574127735218
middle,2020,92,0.2085049791194489
middle,2021,92,0.21160479495864526
middle,2022,92,0.20523647871166253
middle,2023,92,0.20758526028292948
middle,2024,92,0.21242508043918026
middle,2025,92,0.21587860557741403
shallow,1981,92,0.172152708813136
shallow,1982,92,0.17480438414877997
shallow,1983,92,0.15862686602645926
shallow,1984,92,0.1625019796396437
shallow,1985,92,0.1567242038814931
shallow,1986,92,0.1647543959134107
shallow,1987,92,0.164823857597997
shallow,1988,92,0.1325657425159855
shallow,1989,92,0.16918240819782798
shallow,1990,92,0.1660878409429684
shallow,1991,92,0.16623035650324572
shallow,1992,92,0.17999710169094507
shallow,1993,92,0.17808603175927762
shallow,1994,92,0.16051339951574778
shallow,1995,92,0.17414650068437848
shallow,1996,92,0.16813239027961058
shallow,1997,92,0.17604115263043715
shallow,1998,92,0.1696522367367242
shallow,1999,92,0.16472134728379073
shallow,2000,92,0.15579831490543056
shallow,2001,92,0.15726125543686767
shallow,2002,92,0.1474781403872181
shallow,2003,92,0.16101540686986712
shallow,2004,92,0.17665335900259715
shallow,2005,92,0.1627369154056435
shallow,2006,92,0.14512335281388974
shallow,2007,92,0.15531873277517244
shallow,2008,92,0.15885176458586805
shallow,2009,92,0.1682325959126283
shallow,2010,92,0.1669818283422306
shallow,2011,92,0.14764952050589264
shallow,2012,92,0.1303676166420816
shallow,2013,92,0.16332243672745086
shallow,2014,92,0.16483302858283524
shallow,2015,92,0.17489180378418626
shallow,2016,92,0.16519215415430172
shallow,2017,92,0.16795929198613452
shallow,2018,92,0.1642595429812481
shallow,2019,92,0.18046846522451027
shallow,2020,92,0.15718204058080576
shallow,2021,92,0.16546582461367665
shallow,2022,92,0.15919199666113532
shallow,2023,92,0.15914998090515195
shallow,2024,92,0.16369179111147705
shallow,2025,92,0.1714575048497392
