depth,fold,size,median_kge,n_sites
middle,1,100,0.40680654711427816,72
middle,1,200,0.40706729674091946,72
middle,1,300,0.43972013136462484,72
middle,1,400,0.43326992173672296,72
middle,1,500,0.429221696159777,72
middle,1,600,0.4183325994228055,72
middle,1,650,0.430450523550864,72
middle,2,100,0.396596122381317,72
middle,2,200,0.4044753783276365,72
middle,2,300,0.41085263583811893,72
middle,2,400,0.40239797076444334,72
middle,2,500,0.41723187540986856,72
middle,2,600,0.42306049180237265,72
middle,2,650,0.4362949733305461,72
middle,3,100,0.4201058813501814,72
middle,3,200,0.4251989091124596,72
middle,3,300,0.4263289442454679,72
middle,3,400,0.4277977143094011,72
middle,3,500,0.4347591991015879,72
middle,3,600,0.4485586157015312,72
middle,3,650,0.469933157311169,72
middle,4,100,0.48933703944240275,72
middle,4,200,0.47298527357614134,72
middle,4,300,0.4743169790646247,72
middle,4,400,0.46923608033606057,72
middle,4,500,0.46667586328650146,72
middle,4,600,0.4635101248519411,72
middle,4,650,0.47440094176873726,72
middle,5,100,0.476101136708549,72
middle,5,200,0.5250494604095721,72
middle,5,300,0.49174075607441287,72
middle,5,400,0.5198197962143014,72
middle,5,500,0.5282259389403254,72
middle,5,600,0.5244197255584608,72
middle,5,650,0.5287287526280944,72
middle,6,100,0.460721235906547,71
middle,6,200,0.4636465132576396,71
middle,6,300,0.4784270059443696,71
middle,6,400,0.4552155394407521,71
middle,6,500,0.4533983540526494,71
middle,6,600,0.4815363971177017,71
middle,6,650,0.5075213274658081,71
middle,7,100,0.32306009747889863,72
middle,7,200,0.3525697612542181,72
middle,7,300,0.3696284157442764,72
middle,7,400,0.3567290025423552,72
middle,7,500,0.3596261270867972,72
middle,7,600,0.37645920440433234,72
middle,7,650,0.43927472313418103,72
middle,8,100,0.4140465620240713,72
middle,8,200,0.45972175335825105,72
middle,8,300,0.43837412209208704,72
middle,8,400,0.4865386628428905,72
middle,8,500,0.4574993404724559,72
middle,8,600,0.4711580554236552,72
middle,8,650,0.4849781348073354,72
middle,9,100,0.46399008675387,72
middle,9,200,0.4444873587136198,72
middle,9,300,0.44009265491714167,72
middle,9,400,0.46900097370841254,72
middle,9,500,0.4539991101144677,72
middle,9,600,0.4618251611618044,72
middle,9,650,0.4634633347433048,72
middle,10,100,0.3777774540454114,72
middle,10,200,0.36887734129799987,72
middle,10,300,0.3896837605165842,72
middle,10,400,0.38052463647057316,72
middle,10,500,0.38319269021876323,72
middle,10,600,0.3966477067065849,72
middle,10,650,0.4166293937185517,72
shallow,1,100,0.5129864214273795,74
shallow,1,200,0.5467577723123833,74
shallow,1,300,0.5552477812221761,74
shallow,1,400,0.5486362359381418,74
shallow,1,500,0.5505067619568239,74
shallow,1,600,0.5437978132429504,74
shallow,1,660,0.5532504471570308,74
shallow,2,100,0.5385170990576791,73
shallow,2,200,0.5798521880575271,73
shallow,2,300,0.5629539602686551,73
shallow,2,400,0.5795560783974352,73
shallow,2,500,0.5944518078820411,73
shallow,2,600,0.5680527692079851,73
shallow,2,660,0.5953426658805648,73
shallow,3,100,0.5627861737365324,73
shallow,3,200,0.5770005491651518,73
shallow,3,300,0.6090448691478145,73
shallow,3,400,0.6231591334849147,73
shallow,3,500,0.6088930278562115,73
shallow,3,600,0.5935336527240069,73
shallow,3,660,0.6358537912738254,73
shallow,4,100,0.5111616410966102,74
shallow,4,200,0.5156050033377455,74
shallow,4,300,0.5375299059398886,74
shallow,4,400,0.5452529788453965,74
shallow,4,500,0.5586087302649786,74
shallow,4,600,0.5434726901681769,74
shallow,4,660,0.588160630266214,74
shallow,5,100,0.5778308144221056,73
shallow,5,200,0.5883395584191734,73
shallow,5,300,0.5933135918136775,73
shallow,5,400,0.5748108811644297,73
shallow,5,500,0.5850260941575187,73
shallow,5,600,0.5692522270785108,73
shallow,5,660,0.5824032154087817,73
shallow,6,100,0.5640287445334874,73
shallow,6,200,0.5593465120023511,73
shallow,6,300,0.5892684903230533,73
shallow,6,400,0.5904726694341872,73
shallow,6,500,0.5979474871911992,73
shallow,6,600,0.5920815559279156,73
shallow,6,660,0.6025072308710612,73
shallow,7,100,0.5197781336910363,74
shallow,7,200,0.5679372674601157,74
shallow,7,300,0.5705103698883449,74
shallow,7,400,0.557962128954606,74
shallow,7,500,0.5652924762838316,74
shallow,7,600,0.5878285455231846,74
shallow,7,660,0.6121055196592611,74
shallow,8,100,0.5628344036746236,73
shallow,8,200,0.5856222462268152,73
shallow,8,300,0.5440109242536564,73
shallow,8,400,0.5590259359390894,73
shallow,8,500,0.5873075588402088,73
shallow,8,600,0.5749042500464694,73
shallow,8,660,0.5809498098291208,73
shallow,9,100,0.5289054388132314,73
shallow,9,200,0.5776530312514955,73
shallow,9,300,0.5927300648357845,73
shallow,9,400,0.595295499958371,73
shallow,9,500,0.5787483342570268,73
shallow,9,600,0.5916799479924896,73
shallow,9,660,0.6006599845049965,73
shallow,10,100,0.5151468042949606,74
shallow,10,200,0.5631073967840066,74
shallow,10,300,0.5822016548298437,74
shallow,10,400,0.5819562217990997,74
shallow,10,500,0.5812828674050459,74
shallow,10,600,0.5857745332132234,74
shallow,10,660,0.6044436085494866,74
