depth,size,n_folds,mean,median,p25,p75,sd
middle,100,10,0.42285421632055264,0.4170762216871263,0.39914872856455724,0.4631728740420392,0.05099476581623382
middle,200,10,0.43240790460484574,0.4348431339130397,0.4051233579309573,0.4626653232827924,0.051619757850948696
middle,300,10,0.4359165405801708,0.43904712672835594,0.4147217129399562,0.465760898027754,0.038998190967428716
middle,400,10,0.4400530298365913,0.44424273058873753,0.4087479066506828,0.46917730367914856,0.050048661444939885
middle,500,10,0.43838301948431935,0.44407877657711864,0.4202293305973457,0.45662428288295887,0.04654752032197144
middle,600,10,0.446550808215119,0.4551918884316678,0.41951457251769725,0.46924607278072666,0.043677157316756185
middle,650,10,0.46516752624585916,0.4666982460272369,0.4370399107814549,0.4823338365476859,0.035594144039442686
shallow,100,10,0.5393975674747646,0.5337112689354553,0.5163046366439796,0.5628223461901007,0.025295628536237943
shallow,200,10,0.5661221525016765,0.5724689083126338,0.560286733197765,0.5793023988560192,0.021855422958768272
shallow,300,10,0.5736811612522894,0.5763560123590943,0.5571743259837958,0.5918646712076017,0.023491371972457927
shallow,400,10,0.5756127763915672,0.5771834797809324,0.5582280807007268,0.5883435575254152,0.023947706316556128
shallow,500,10,0.5808065146094886,0.5831544807812823,0.5686564407771304,0.592665745621583,0.018211390415183926
shallow,600,10,0.5750377985124913,0.5803393916298464,0.5683526336756165,0.5907170973751634,0.018982454358094477
shallow,660,10,0.5955676903400343,0.5980013251927807,0.5838425691231398,0.6039595141298802,0.021812306440135938
