site_id,network,longitude,latitude,in_kfold_shallow,in_kfold_middle,oos_shallow,oos_middle,fully_oos
AIDN8,UMRB Mesonet,-103.31629,46.48844,TRUE,TRUE,FALSE,FALSE,FALSE
BCHN8,UMRB Mesonet,-103.96629,46.78941,TRUE,TRUE,FALSE,FALSE,FALSE
BOMN8,UMRB Mesonet,-103.47303,46.19958,TRUE,TRUE,FALSE,FALSE,FALSE
CRGN8,UMRB Mesonet,-99.13215,47.50865,TRUE,TRUE,FALSE,FALSE,FALSE
CSRN8,UMRB Mesonet,-101.37384,46.44304,TRUE,TRUE,FALSE,FALSE,FALSE
CURN8,UMRB Mesonet,-98.67987,47.22119,TRUE,TRUE,FALSE,FALSE,FALSE
DKSN8,UMRB Mesonet,-102.81284,46.89483,TRUE,TRUE,FALSE,FALSE,FALSE
DOOM8,UMRB Mesonet,-104.38458,48.83369,FALSE,FALSE,TRUE,TRUE,TRUE
EDGN8,UMRB Mesonet,-98.76608,46.31913,TRUE,TRUE,FALSE,FALSE,FALSE
FROM8,UMRB Mesonet,-104.49668,48.25794,FALSE,FALSE,TRUE,TRUE,TRUE
FTUN8,UMRB Mesonet,-103.80585,48.96375,TRUE,TRUE,FALSE,FALSE,FALSE
GANN8,UMRB Mesonet,-101.67955,47.71023,TRUE,TRUE,FALSE,FALSE,FALSE
GREN8,UMRB Mesonet,-103.88123,48.73502,TRUE,TRUE,FALSE,FALSE,FALSE
GSBN8,UMRB Mesonet,-103.20628,47.38661,TRUE,TRUE,FALSE,FALSE,FALSE
HAZN8,UMRB Mesonet,-101.67933,47.30177,TRUE,TRUE,FALSE,FALSE,FALSE
HTGN8,UMRB Mesonet,-102.64564,46.01255,TRUE,TRUE,FALSE,FALSE,FALSE
JSTN8,UMRB Mesonet,-98.92778,46.90669,TRUE,TRUE,FALSE,FALSE,FALSE
KEEN8,UMRB Mesonet,-103.04803,47.89372,TRUE,TRUE,FALSE,FALSE,FALSE
MARN8,UMRB Mesonet,-98.32759,46.56453,TRUE,TRUE,FALSE,FALSE,FALSE
MATN8,UMRB Mesonet,-102.32195,46.37979,TRUE,TRUE,FALSE,FALSE,FALSE
MMDN8,UMRB Mesonet,-100.91401,46.77356,TRUE,TRUE,FALSE,FALSE,FALSE
OKNN8,UMRB Mesonet,-98.10281,46.06672,TRUE,TRUE,FALSE,FALSE,FALSE
RAYN8,UMRB Mesonet,-103.16926,48.40095,TRUE,TRUE,FALSE,FALSE,FALSE
ROBN8,UMRB Mesonet,-99.79807,47.17305,TRUE,TRUE,FALSE,FALSE,FALSE
RSTM8,UMRB Mesonet,-104.84179,48.82451,FALSE,FALSE,TRUE,TRUE,TRUE
