site_id,network,longitude,latitude,oos_shallow,oos_middle,fully_oos
SCAN:2043,SCAN,-72.02593,43.7756,TRUE,FALSE,FALSE
SCAN:2051,SCAN,-80.55,25.5,FALSE,TRUE,FALSE
SCAN:2152,SCAN,-112.39258,40.590889999999995,FALSE,TRUE,FALSE
SCAN:2163,SCAN,-113.45866,39.23724,FALSE,TRUE,FALSE
SNTL:1000,SNTL,-122.16518,42.870070000000005,TRUE,TRUE,TRUE
SNTL:1085,SNTL,-121.5343,46.86954,TRUE,TRUE,TRUE
SNTL:1107,SNTL,-123.45747,47.7086,TRUE,TRUE,TRUE
SNTL:1113,SNTL,-111.56918,41.88573,TRUE,TRUE,TRUE
SNTL:1132,SNTL,-107.0136,44.34847,TRUE,TRUE,TRUE
SNTL:1152,SNTL,-114.6133,39.16337,TRUE,TRUE,TRUE
SNTL:1159,SNTL,-118.98640000000002,48.9516,TRUE,TRUE,TRUE
SNTL:1248,SNTL,-112.92949,37.59711,TRUE,FALSE,FALSE
SNTL:1280,SNTL,-111.71802,39.92076,TRUE,TRUE,TRUE
SNTL:320,SNTL,-113.93797000000001,43.74367,TRUE,TRUE,TRUE
SNTL:344,SNTL,-122.26617,42.40717,TRUE,TRUE,TRUE
SNTL:351,SNTL,-121.85605,45.428700000000006,TRUE,TRUE,TRUE
SNTL:361,SNTL,-118.18787,44.83052,TRUE,TRUE,TRUE
SNTL:398,SNTL,-121.75443,45.09658,TRUE,TRUE,TRUE
SNTL:401,SNTL,-121.6916,45.18832,TRUE,TRUE,TRUE
SNTL:466,SNTL,-116.12233,46.83998,TRUE,FALSE,FALSE
SNTL:513,SNTL,-110.62121,40.73785,TRUE,FALSE,FALSE
SNTL:515,SNTL,-120.6586,48.72047,TRUE,TRUE,TRUE
SNTL:523,SNTL,-118.10657,45.69682,TRUE,TRUE,TRUE
SNTL:568,SNTL,-111.82498,44.58907000000001,TRUE,TRUE,TRUE
SNTL:578,SNTL,-110.96625,45.50410000000001,TRUE,FALSE,FALSE
SNTL:599,SNTL,-121.08095000000002,46.3575,TRUE,TRUE,TRUE
SNTL:608,SNTL,-119.49585,45.10513,TRUE,TRUE,TRUE
SNTL:711,SNTL,-120.7358,48.51865,TRUE,TRUE,TRUE
SNTL:721,SNTL,-118.83842,44.00883000000001,TRUE,TRUE,TRUE
SNTL:728,SNTL,-119.8383,48.65518000000001,TRUE,TRUE,TRUE
SNTL:734,SNTL,-121.06323,47.38485,TRUE,TRUE,TRUE
SNTL:759,SNTL,-118.68785,42.753330000000005,TRUE,FALSE,FALSE
SNTL:767,SNTL,-119.54013,43.94885000000001,TRUE,TRUE,TRUE
SNTL:781,SNTL,-110.62165,46.77962000000001,TRUE,TRUE,TRUE
SNTL:810,SNTL,-121.42592,42.69108,TRUE,TRUE,TRUE
SNTL:821,SNTL,-118.42617,44.65567,TRUE,TRUE,TRUE
SNTL:836,SNTL,-114.5056,46.1438,TRUE,FALSE,FALSE
SNTL:903,SNTL,-112.50787,46.84234,TRUE,FALSE,FALSE
SNTL:974,SNTL,-123.42594,47.94485000000001,TRUE,TRUE,TRUE
SNTL:990,SNTL,-121.2555,48.8793,TRUE,FALSE,FALSE
SNTL:999,SNTL,-121.69822999999998,48.76292000000001,TRUE,TRUE,TRUE
ACMS2,UMRB Mesonet,-99.0929,43.4992,TRUE,TRUE,TRUE
ALMW4,UMRB Mesonet,-104.2483,44.5871,TRUE,TRUE,TRUE
ALUN1,UMRB Mesonet,-102.89401,42.05799,TRUE,TRUE,TRUE
ASAM8,UMRB Mesonet,-106.14318,45.57326,TRUE,TRUE,TRUE
AVMS2,UMRB Mesonet,-98.0002,43.0096,TRUE,TRUE,TRUE
AVNW4,UMRB Mesonet,-104.5444,44.8605,TRUE,TRUE,TRUE
AWMS2,UMRB Mesonet,-98.6834,45.4054,TRUE,TRUE,TRUE
BDEM8,UMRB Mesonet,-105.25889,48.55058,TRUE,TRUE,TRUE
BDMS2,UMRB Mesonet,-98.2781,45.1544,TRUE,TRUE,TRUE
BDMW4,UMRB Mesonet,-105.0406,44.953,TRUE,TRUE,TRUE
BFDN8,UMRB Mesonet,-103.92594,47.97074,TRUE,TRUE,TRUE
BMRN8,UMRB Mesonet,-99.31836,47.74575,TRUE,TRUE,TRUE
BNGM8,UMRB Mesonet,-108.49062,45.62588,TRUE,TRUE,TRUE
BNWM8,UMRB Mesonet,-112.17275,47.30804,TRUE,TRUE,TRUE
BRYM8,UMRB Mesonet,-111.66432,48.10323,TRUE,TRUE,TRUE
BSEM8,UMRB Mesonet,-110.03595,48.03403,TRUE,TRUE,TRUE
BSWM8,UMRB Mesonet,-110.32165,48.24156,TRUE,TRUE,TRUE
BTSM8,UMRB Mesonet,-109.82669,45.74353,TRUE,FALSE,FALSE
