depth,network,site_id,fold,n_ml,n_sport,lon,lat,KGE_KGML,KGE_SPoRT,KGE_diff,r_KGML,r_SPoRT,r_diff,pbias_KGML,pbias_SPoRT,pbias_diff,abs_pbias_adv
Middle,SCAN,SCAN:2001,10,7091,5117,-96.46667,40.85,0.5532555477666126,0.38678270112950275,0.16647284663710982,0.6902120849066857,0.5978660267387917,0.09234605816789399,-7.5,-27.5,20,20
Middle,SCAN,SCAN:2002,1,5940,3885,-93.95,45.41667,0.39102382364853294,0.6922266307636782,-0.30120280711514524,0.665751705566466,0.7347546687903556,-0.06900296322388955,-21.8,10.3,-32.1,-11.5
Middle,SCAN,SCAN:2003,2,5722,3511,-88.58333000000002,45.46666999999999,0.7304563472866348,-0.23608566768670447,0.9665420149733392,0.7704948364918948,0.6295779573928043,0.14091687909909045,1.8,112.6,-110.8,110.8
Middle,SCAN,SCAN:2004,2,6329,4059,-89.9,40.31667,0.5119601052424352,-0.03222107737629898,0.5441811826187342,0.7362508708183525,0.6634577347754153,0.07279313604293725,40.7,67.6,-26.89999999999999,26.89999999999999
Middle,SCAN,SCAN:2005,4,8311,4243,-87.83333,37.1,0.6050273689208641,0.5180913062390411,0.08693606268182297,0.7172172031171459,0.5776759547999498,0.13954124831719605,0.4,-12.7,13.1,12.299999999999999
Middle,SCAN,SCAN:2006,4,7945,4753,-102.1,35.166669999999996,0.48700515094191477,0.3667682611104113,0.12023688983150349,0.6491635620909204,0.723907568768236,-0.07474400667731562,-5.6,-23.2,17.6,17.6
Middle,SCAN,SCAN:2008,3,7523,2892,-76.65,35.86667,0.4652737318276471,0.5831250606291383,-0.11785132880149118,0.7261324187455922,0.6789334866913472,0.04719893205424497,-26.4,-10.8,-15.599999999999998,-15.599999999999998
Middle,SCAN,SCAN:2009,8,7636,5572,-84.41667000000001,30.300000000000004,0.12537430427481833,-0.6571416615317234,0.7825159658065417,0.5524565097107638,0.5034108865638881,0.04904562314687566,59.2,148.5,-89.3,89.3
Middle,SCAN,SCAN:2011,9,8255,4886,-77.03333,42.88333,0.5915284148167942,0.48273288142196624,0.10879553339482795,0.6787622194813457,0.5512286510466049,0.12753356843474084,-0.9,24.6,-25.5,23.700000000000003
Middle,SCAN,SCAN:2012,6,7240,4408,-81.63333,29.1,0.2424544798255256,-1.186198961521491,1.4286534413470164,0.5023813338386534,0.41041957663220574,0.09196175720644761,16.7,196.1,-179.4,179.4
Middle,SCAN,SCAN:2013,2,7105,4292,-83.43333,33.88333,0.6157644966387346,0.5811432726250958,0.03462122401363876,0.754575881408437,0.75108439105128,0.003491490357157012,0.7,30.9,-30.2,30.2
Middle,SCAN,SCAN:2014,7,6723,4145,-83.45,39.95,0.638643508700994,0.48071453789132357,0.1579289708096704,0.7070293577626448,0.6754088025635261,0.03162055519911866,-10.4,-13.5,3.0999999999999996,3.0999999999999996
